"DateTime","valvePos","Campbell","Aerodyne","LosGatos","AeroExcess_Avg"
2016-03-22 11:52:17,4,"Chm8","Chm8","Chm6",-119.9
2016-03-22 11:54:18,4,"Chm4","Chm5","Chm6",-119.2
2016-03-22 11:56:19,4,"Chm8","Chm8","Chm6",-176.9
2016-03-22 11:58:20,4,"Chm4","Chm5","Chm6",-121.6
2016-03-22 12:00:21,4,"Chm8","ABGD","Chm7",237.3
2016-03-22 12:02:22,4,"Chm8","Chm8","Chm7",-142.3
2016-03-22 12:04:33,4,"Chm5","Chm6","Chm7",-131.4
2016-03-22 12:06:34,4,"Chm8","Chm8","Chm7",-116.8
2016-03-22 12:08:35,4,"Chm5","Chm6","Chm7",-115.6
2016-03-22 12:10:36,4,"Chm8","Chm8","Chm7",-112.7
2016-03-22 12:12:37,4,"Chm5","Chm6","Chm7",-127.8
2016-03-22 12:14:39,4,"Chm8","ABGD","Chm1",237.3
2016-03-22 12:16:40,4,"Chm8","Chm8","Chm1",-142.9
2016-03-22 12:18:51,4,"Chm6","Chm7","Chm1",57.16
2016-03-22 12:20:52,4,"Chm8","Chm8","Chm1",-123.1
2016-03-22 12:22:53,4,"Chm6","Chm7","Chm1",-115.1
2016-03-22 12:24:54,4,"Chm8","Chm8","Chm1",-162
2016-03-22 12:26:55,4,"Chm6","Chm7","Chm1",-139.4
2016-03-22 12:28:56,4,"Chm8","ABGD","Chm2",135.4
2016-03-22 12:30:57,4,"Chm8","Chm8","Chm2",-142.9
2016-03-22 12:33:08,4,"Chm7","Chm1","Chm2",-107.3
2016-03-22 12:35:09,4,"Chm8","Chm8","Chm2",-139.6
2016-03-22 12:37:10,4,"Chm7","Chm1","Chm2",-107.8
2016-03-22 12:39:11,4,"Chm8","Chm8","Chm2",-139.4
2016-03-22 12:41:12,4,"Chm7","Chm1","Chm2",58.11
2016-03-22 12:43:13,4,"Chm8","Chm8","Chm8",-139.4
2016-03-22 12:43:15,4,"Chm8","CAL1","Chm3",38.57
2016-03-22 12:45:16,4,"Chm8","CAL0","Chm3",-204.5
2016-03-22 12:45:18,4,"Chm8","N2ON","Chm3",-204.3
2016-03-22 12:47:19,4,"Chm8","N2OF","Chm3",-210.1
2016-03-22 12:47:21,4,"Chm8","ABGD","Chm3",237.3
2016-03-22 12:49:22,4,"Chm8","Chm8","Chm3",-143.4
2016-03-22 12:51:33,4,"Chm1","Chm2","Chm3",-116.6
2016-03-22 12:53:34,4,"Chm8","Chm8","Chm3",-140.3
2016-03-22 12:55:36,4,"Chm1","Chm2","Chm3",-116.3
2016-03-22 12:57:37,4,"Chm8","Chm8","Chm3",-140.3
2016-03-22 12:59:38,4,"Chm1","Chm2","Chm3",-116.8
2016-03-22 13:01:39,4,"Chm8","ABGD","Chm4",237.1
2016-03-22 13:03:40,4,"Chm8","Chm8","Chm4",-142.7
2016-03-22 13:05:51,4,"Chm2","Chm3","Chm4",57.63
2016-03-22 13:07:52,4,"Chm8","Chm8","Chm4",-139.6
